Date, Stock Price, Option Price, Implied Volatility, Delta, Hedging Error, PNL, PNL (with hedge)
2011-03-24,586.89,112.75,0.612617,1,0.0291079,5.35,0.0291079
2011-03-25,579.74,107.4,0.637314,0.715673,0.0527853,8.75,0.0818932
2011-03-28,575.36,104,0.654795,1,-0.00166299,5.25,0.0802302
2011-03-29,581.73,107.5,0.636863,0.708895,-0.142021,4.75,-0.0617908
2011-03-30,581.84,108,0.637233,1,-0.1203,0.9,-0.182091
2011-03-31,586.76,111.85,0.622201,0.704973,-0.102767,-1.85,-0.284858
2011-04-01,591.8,114.6,0.610738,1,-0.0810315,2.1,-0.365889
2011-04-04,587.68,110.65,0.627496,0.710859,-0.135356,15.8,-0.501245
2011-04-05,569.09,96.95,0.695077,1,-0.103452,10.6,-0.604698
2011-04-06,574.18,102.15,0.673513,0.710895,-0.20839,6.8,-0.813087
2011-04-07,580,105.95,0.655499,1,-0.239749,7.05,-1.05284
2011-04-08,578.16,105.7,0.661059,0.71571,-0.297455,9.4,-1.35029
2011-04-11,577.37,103.35,0.670101,1,-0.282068,13.5,-1.63236
2011-04-12,570.61,99.25,0.695828,0.720757,-0.251148,8.85,-1.88351
2011-04-13,576.28,103.9,0.674683,1,-0.227646,6.25,-2.11115
2011-04-14,578.51,106.5,0.665651,0.716329,-0.202282,43.85,-2.31344
2011-04-15,530.7,68.9,0.919083,1,-0.205581,46.8,-2.51902
2011-04-18,526.84,65.95,0.950329,0.700175,-0.196105,51.1,-2.71512
2011-04-19,521.53,61.65,0.996341,1,-0.166758,49.6,-2.88188
2011-04-20,525.73,63.15,0.971,0.703998,-0.136079,49.65,-3.01796
2011-04-21,525.1,63.1,0.977629,1,-0.152072,49.9,-3.17003
2011-04-25,525.05,62.85,0.98448,0.709048,-0.145318,44.75,-3.31535
2011-04-26,532.82,68,0.930847,1,-0.144778,42.9,-3.46013
2011-04-27,537.76,69.85,0.905093,0.70731,-0.109442,42.85,-3.56957
2011-04-28,537.97,69.9,0.906372,1,-0.105411,40.45,-3.67498
2011-04-29,544.1,72.3,0.876268,0.706691,-0.0691198,42.55,-3.7441
2011-05-02,538.56,70.2,0.908255,1,-0.0424457,45.2,-3.78654
2011-05-03,533.89,67.55,0.941206,0.700949,-0.0163991,43.4,-3.80294
2011-05-04,535.79,69.35,0.929386,1,0.00182434,44.45,-3.80112
